tract,Year,City,LACity,Community_Name,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamEncampHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamEncampPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndEncampPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
207101,2020,Los Angeles,1,Downtown,4,1,1,24,51,34,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
207102,2020,Los Angeles,1,Chinatown/Downtown,4,1,1,24,51,34,0,0,1,2,73,0,0,0,0,0,0,0,0,86,1,0,0,0,127.1,1.678,0,0,0,1.094,0.019,0,0,0,3.718,0.066,0,0,0,123.38,1.612,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.778,38,0,0,38,239.778
207103,2020,Los Angeles,1,Chinatown,4,1,1,24,51,34,0,0,0,2,13,0,0,0,0,0,0,1,0,0,1,0,1.774,0,0,1.678,0,0.043,0,0,0.019,0,0.165,0,0,0.066,0,1.609,0,0,1.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.452,0,0,0,0,16.452
207301,2020,Los Angeles,1,Downtown,4,1,14,30,53,34,31,0,1,4,111,0,0,0,0,0,6,0,0,2,1,9.073,0,0,2.956,1.678,0.377,0,0,0.026,0.019,1.306,0,0,0.086,0.066,7.768,0,0,2.87,1.612,181,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,124.707,181,123,0,304,428.709
207302,2020,Los Angeles,1,Downtown,4,1,14,30,53,34,32,0,0,2,79,0,0,0,0,0,0,0,0,17,8,0,0,0,25.124,13.423,0,0,0,0.216,0.152,0,0,0,0.734,0.529,0,0,0,24.388,12.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.547,0,0,0,0,117.547
207400,2020,Los Angeles,1,Downtown,4,1,14,24,53,34,5,0,0,2,39,0,0,0,0,0,0,0,0,49,5,0,0,0,72.415,8.389,0,0,0,0.623,0.095,0,0,0,2.119,0.331,0,0,0,70.296,8.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.804,0,0,0,0,119.804
207501,2020,Los Angeles,1,Downtown,4,1,14,24,53,34,3,0,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,1.478,1.678,0,0,0,0.013,0.019,0,0,0,0.043,0.066,0,0,0,1.435,1.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.156,0,0,0,0,9.156
207502,2020,Los Angeles,1,Downtown,4,1,14,30,53,34,6,0,0,2,25,0,0,0,0,0,0,0,0,6,3,0,0,0,8.867,5.034,0,0,0,0.076,0.057,0,0,0,0.259,0.198,0,0,0,8.608,4.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.901,0,0,0,0,38.901
207710,2020,Los Angeles,1,Downtown,4,1,14,30,53,34,64,0,1,3,50,0,0,0,0,0,0,0,0,8,3,0,0,0,11.823,5.034,0,0,0,0.102,0.057,0,0,0,0.346,0.198,0,0,0,11.477,4.835,2,19,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.856,57,0,0,57,123.856
207900,2020,Los Angeles,1,Downtown,4,1,14,30,53,34,0,0,0,3,54,0,0,0,0,0,0,0,0,4,4,0,0,0,5.911,6.711,0,0,0,0.051,0.076,0,0,0,0.173,0.265,0,0,0,5.738,6.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.623,0,0,0,0,66.623
208000,2020,Los Angeles,1,Westlake/Echo Park,4,1,1,24,51,34,22,0,0,3,7,0,0,0,0,0,1,4,6,10,10,1.512,7.096,8.525,14.779,16.778,0.063,0.173,0.258,0.127,0.19,0.218,0.659,0.931,0.432,0.662,1.295,6.437,7.594,14.347,16.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.69,0,0,0,0,55.69
208301,2020,Los Angeles,1,Westlake,4,1,13,24,51,34,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.774,0,0,0,0,0.043,0,0,0,0,0.165,0,0,0,0,1.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.774,0,0,0,0,2.774
208302,2020,Los Angeles,1,Westlake,4,1,13,24,51,34,0,0,1,2,2,0,0,0,0,0,1,5,0,0,1,1.512,8.87,0,0,1.678,0.063,0.216,0,0,0.019,0.218,0.824,0,0,0.066,1.295,8.047,0,0,1.612,53,0,0,2,0,0,0,2,14,33,0,3,6,0,0,0,0,0,0,0,0,14.06,55,41,0,96,110.062
