tract_split,Year,City,LACity,Community_Name,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,SheltHmisCt,DemogSurveyAny,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totMSS,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMSSPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMSSHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMSSPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMSSPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
224700,2022,Los Angeles,1,University Park,6,1,9,30,59,37,0,0,0,1,1,13,0,0,0,0,0,0,1,0,8,9,0,1.201,0,9.416,13.759,0,0.018,0,0.015,0.034,0,0.057,0,0.053,0.102,0,1.144,0,9.363,13.657,21,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.376,24,0,0,24,61.376
226001a,2022,Los Angeles,1,Downtown,4,2,14,30,59,40,75,0,1,0,1,15,0,0,0,0,0,3,8,39,19,27,4.777,11.938,72.522,26.233,43.373,0.14,0.147,0.739,0.036,0.102,0.456,0.455,3.021,0.125,0.306,4.321,11.483,69.501,26.108,43.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.84,0,0,0,0,173.84
226001b,2022,Los Angeles,1,Historic South-Central,4,2,9,30,59,40,27,0,1,0,1,8,0,0,0,0,0,2,0,2,4,13,3.185,0,3.719,5.523,20.883,0.094,0,0.038,0.008,0.049,0.304,0,0.155,0.026,0.147,2.881,0,3.564,5.496,20.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.31,0,0,0,0,41.31
226002a,2022,Los Angeles,1,Downtown,4,2,14,30,53,34,7,0,1,0,1,6,0,0,0,0,0,1,0,0,0,2,1.592,0,0,0,3.213,0.047,0,0,0,0.008,0.152,0,0,0,0.023,1.44,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.805,0,0,0,0,10.805
226002b,2022,Los Angeles,1,Downtown,4,2,14,30,53,34,56,0,1,0,1,155,0,0,0,0,0,24,6,48,136,152,38.215,8.954,89.258,187.77,244.17,1.123,0.11,0.909,0.261,0.574,3.645,0.342,3.718,0.894,1.721,34.569,8.612,85.54,186.88,242.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723.37,0,0,0,0,723.37
226002c,2022,Los Angeles,1,Downtown,4,2,14,30,53,34,13,0,1,0,1,22,0,0,0,0,0,1,3,0,15,17,1.592,4.477,0,20.71,27.309,0.047,0.055,0,0.029,0.064,0.152,0.171,0,0.099,0.193,1.44,4.306,0,20.611,27.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.088,0,0,0,0,76.088
226002d,2022,Los Angeles,1,Downtown,4,2,14,30,53,34,25,0,1,0,1,16,0,0,0,0,0,2,0,3,20,10,3.185,0,5.579,27.613,16.064,0.094,0,0.057,0.038,0.038,0.304,0,0.232,0.131,0.113,2.881,0,5.346,27.482,15.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.441,0,0,0,0,68.441
226410a,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
226410b,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
226420a,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
226420b,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
226420c,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
226700,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,16,0,0,0,0,0,4,5,3,2,6,5.313,6.007,4.807,2.354,9.173,0.187,0.092,0.057,0.004,0.023,0.608,0.285,0.232,0.013,0.068,4.705,5.722,4.574,2.341,9.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.654,0,0,0,0,43.654
227010,2022,Los Angeles,1,Central-Alameda,6,2,9,30,59,40,24,0,1,0,1,11,0,0,56,0,0,0,1,7,1,5,0,1.201,11.216,1.177,7.644,0,0.018,0.133,0.002,0.019,0,0.057,0.542,0.007,0.057,0,1.144,10.674,1.17,7.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.238,0,0,0,0,88.238
227020a,2022,Los Angeles,1,Central-Alameda,6,2,9,30,59,40,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,4.807,0,1.529,0,0,0.057,0,0.004,0,0,0.232,0,0.011,0,0,4.574,0,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.336,0,0,0,0,7.336
227020b,2022,Los Angeles,1,Central-Alameda,6,2,9,30,59,40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.602,0,1.529,0,0,0.019,0,0.004,0,0,0.077,0,0.011,0,0,1.525,0,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.131,0,0,0,0,3.131
228100a,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,4,0,0,0,0,0,0,0,4,1,7,0,0,6.409,1.177,10.702,0,0,0.076,0.002,0.026,0,0,0.31,0.007,0.079,0,0,6.099,1.17,10.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.288,0,0,0,0,22.288
228100b,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,3,0,1,0,1,5,0,0,0,0,0,0,0,1,1,1,0,0,1.602,1.177,1.529,0,0,0.019,0.002,0.004,0,0,0.077,0.007,0.011,0,0,1.525,1.17,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.308,0,0,0,0,9.308
228210a,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.328,1.201,0,0,0,0.047,0.018,0,0,0,0.152,0.057,0,0,0,1.176,1.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,2.53
228210b,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,5,0,0,0,0,0,2,1,5,0,2,2.657,1.201,8.011,0,3.058,0.094,0.018,0.095,0,0.008,0.304,0.057,0.387,0,0.023,2.353,1.144,7.624,0,3.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.927,0,0,0,0,19.927
228210c,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.529,0,0,0,0,0.004,0,0,0,0,0.011,0,0,0,0,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.529,0,0,0,0,2.529
228220a,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,6,0,0,0,0,0,3,2,1,1,1,3.985,2.403,1.602,1.177,1.529,0.14,0.037,0.019,0.002,0.004,0.456,0.114,0.077,0.007,0.011,3.529,2.289,1.525,1.17,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.696,0,0,0,0,16.696
228220b,2022,Los Angeles,1,Central-Alameda,6,2,9,33,59,40,0,0,0,0,1,6,0,0,0,0,0,13,5,1,6,8,17.267,6.007,1.602,7.062,12.23,0.608,0.092,0.019,0.012,0.03,1.974,0.285,0.077,0.039,0.091,15.293,5.722,1.525,7.022,12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.169,0,0,0,0,50.169
228310a,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,3,0,0,0,0,0,5,8,9,1,3,6.641,9.611,14.42,1.177,4.586,0.234,0.147,0.171,0.002,0.011,0.759,0.455,0.697,0.007,0.034,5.882,9.156,13.723,1.17,4.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.436,0,0,0,0,39.436
228310b,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,0,0,0,0,0,0,3,16,5,8,1,3.985,19.222,8.011,9.416,1.529,0.14,0.293,0.095,0.015,0.004,0.456,0.911,0.387,0.053,0.011,3.529,18.311,7.624,9.363,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.163,0,0,0,0,42.163
228320a,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.529,0,0,0,0,0.004,0,0,0,0,0.011,0,0,0,0,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529,0,0,0,0,1.529
228320b,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228410a,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,3.205,0,1.529,0,0,0.038,0,0.004,0,0,0.155,0,0.011,0,0,3.05,0,1.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.733,0,0,0,0,6.733
228410b,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,3.604,3.205,0,0,0,0.055,0.038,0,0,0,0.171,0.155,0,0,0,3.433,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.809,0,0,0,0,6.809
228420a,2022,Los Angeles,1,Historic South-Central,6,2,9,30,59,40,5,0,1,0,1,13,0,0,0,0,0,1,1,0,0,0,1.328,1.201,0,0,0,0.047,0.018,0,0,0,0.152,0.057,0,0,0,1.176,1.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.53,0,0,0,0,15.53
