tract,Year,City,LACity,Community_Name,SPA,SD,CD,DemogSurvCt,YouthSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
482201,2019,Monterey Park,2,Monterey Park,3,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,0,0,0,0,6.37
482202,2019,Monterey Park,2,Monterey Park,3,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,2.79
482301,2019,San Gabriel,2,San Gabriel,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482303,2019,Rosemead,2,Rosemead,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482304,2019,Rosemead,2,Rosemead,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
482401,2019,Rosemead,2,Rosemead,3,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
482402,2019,Rosemead/Unincorporated,2,Rosemead/Unincorporated South San Gabriel/Other,3,1,0,16,0,0,0,1,1,0,0,1,2,1,0,0,1.551,3.58,2.141,0,0,0,0,0,0,0,0,0,0,0,0,1.551,3.58,2.141,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.272,10,0,0,10,18.272
482502,2019,Rosemead,2,Rosemead,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482503,2019,Rosemead,2,Rosemead,3,1,0,0,0,0,0,1,5,0,0,0,0,0,1,2,0,0,0,1.624,5.477,0,0,0,0.002,0,0,0,0,0.006,0,0,0,0,1.618,5.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.101,0,0,0,0,12.101
482521,2019,Rosemead/Unincorporated,2,Rosemead/Unincorporated South San Gabriel,3,1,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,2.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.141,0,0,0,0,6.141
482522,2019,Montebello/Rosemead/Other,2,Montebello/Rosemead/Other,7,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1.338,0,1.86,0,0,0,0,0.021,0,0,0,0,0.068,0,0,1.338,0,1.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.198,0,0,0,0,4.198
482600,2019,Monterey Park,2,Monterey Park,3,1,0,0,0,0,0,1,0,0,0,3,2,0,0,0,4.653,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,4.653,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.233,0,0,0,0,8.233
482701,2019,Monterey Park,2,Monterey Park,3,1,0,3,0,0,0,1,3,0,0,3,2,1,0,0,4.653,3.58,2.141,0,0,0,0,0,0,0,0,0,0,0,0,4.653,3.58,2.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.374,0,0,0,0,13.374
482702,2019,Monterey Park,2,Monterey Park,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
