GEOID,B25077_001E,B25064_001E,B25088_001E,B25070_004E,B25070_005E,B25070_006E,B25070_007E,B25070_001E,B25091_005E,B25091_006E,B25091_007E,B25091_008E,B25091_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B19083_001E,B19057_002E,B19057_001E,B25022_002E,B25022_001E,B25034_002E,B25034_001E,B03003_003E,B03003_001E,B07001_017E,B07001_001E,B11001_003E,B11001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_001E,B25014_003E,B25014_004E,B25014_001E,B25001_001E
06037106641,1043500,3501,2393,0,35,0,0,123,54,60,73,64,609,85,1063,136,2076,0.4165,7,732,4290.0,5062.0,0,793,166,2096,2022,2079,416,732,24,24,59,65,39,6,35,20,115,50,12,26,132,64,52,27,54,40,38,24,2096,421,177,732,793
06037106642,914900,3501,2967,0,0,9,27,113,283,43,51,35,1076,112,1738,282,3484,0.3547,42,1189,6890.0,7638.0,0,1235,734,3514,3444,3500,800,1189,31,41,97,89,19,25,23,81,72,81,96,50,107,113,38,40,34,133,117,83,3514,668,372,1189,1235
06037106643,1191700,2321,4001,0,0,35,0,59,111,58,39,95,1328,94,2082,120,4311,0.4369,27,1387,10429.0,10726.0,0,1482,468,4311,4002,4246,1069,1387,73,112,151,33,8,42,69,81,337,82,8,40,109,152,106,54,163,79,23,8,4311,1034,286,1387,1482
06037106645,1041100,3501,2944,0,0,23,0,161,247,102,89,23,1091,112,1766,190,3672,0.4265,24,1252,7564.0,8247.0,0,1297,1000,3672,3475,3644,808,1252,21,73,63,82,33,26,24,78,124,84,48,94,95,152,178,45,169,179,130,97,3672,807,236,1252,1297
06037106646,803900,1833,2708,35,0,8,0,146,38,125,112,56,853,155,1508,169,2973,0.3874,32,999,5449.0,6384.0,7,1015,799,3092,2845,3018,577,999,51,16,79,70,12,54,36,35,40,56,33,124,76,78,72,44,109,97,73,60,3092,597,238,999,1015
06037106648,547500,1582,2192,58,31,88,40,692,33,30,49,33,487,32,2462,633,4698,0.4441,85,1179,2802.0,5716.0,0,1200,4322,4713,4418,4671,613,1179,31,66,56,32,29,5,24,30,61,66,47,7,93,185,253,161,159,255,49,61,4713,178,230,1179,1200
06037106649,666400,3501,2342,0,5,0,0,66,84,43,64,51,576,113,1279,133,2689,0.4071,0,642,3505.0,3933.0,0,676,1860,2689,2500,2674,367,642,26,28,69,11,12,0,21,39,66,37,30,130,74,49,93,48,16,93,81,53,2689,308,177,642,676
06037107010,682100,2152,1866,0,44,22,15,252,33,46,35,53,505,91,1531,128,2928,0.373,2,757,2898.0,3917.0,7,788,2726,2997,2854,2961,343,757,10,59,67,12,38,0,74,12,67,18,41,51,49,60,115,94,69,52,73,85,2997,250,209,757,788
06037107020,626400,2171,2583,33,16,23,30,359,107,58,73,40,853,176,2256,907,4921,0.417,30,1212,4632.0,6366.0,0,1264,4296,4921,4628,4840,669,1212,32,37,130,25,22,0,45,87,66,10,37,70,340,152,138,241,54,169,176,143,4921,333,389,1212,1264
06037108101,991200,3501,2769,0,21,0,7,66,116,81,99,22,691,45,1039,75,2128,0.3634,6,757,4710.0,5082.0,0,785,407,2128,2094,2122,540,757,45,32,48,73,33,46,11,15,111,76,50,33,84,36,84,16,41,59,11,16,2128,537,146,757,785
06037108102,944100,3501,2665,0,24,0,0,172,74,97,64,57,1054,129,1472,410,3474,0.4139,6,1226,6641.0,7587.0,0,1258,362,3477,3211,3453,681,1226,20,11,94,51,76,114,7,42,111,89,122,59,76,32,161,62,62,165,130,60,3477,785,220,1226,1258
06037108103,1075000,3501,3810,0,0,0,42,101,140,38,143,12,900,120,1644,193,3053,0.3985,0,1001,6916.0,7642.0,0,1049,257,3053,2800,2945,771,1001,17,47,81,93,59,61,36,71,101,63,65,39,43,17,100,66,91,32,24,44,3053,707,175,1001,1049
06037108104,1030200,3501,2576,0,20,12,0,84,59,49,34,28,478,33,639,50,1754,0.3807,19,562,3171.0,3717.0,0,593,121,1754,1416,1737,411,562,9,21,59,29,22,23,6,32,65,41,40,20,113,64,98,25,104,20,62,13,1754,351,101,562,593
06037108202,1328800,3359,4001,42,72,85,155,1031,212,255,302,383,2520,104,5832,332,10191,0.4513,78,3551,17455.0,21422.0,430,3921,1061,10248,8740,10180,2259,3551,62,42,227,92,31,20,198,126,156,137,33,75,326,914,358,91,161,286,270,271,10248,1729,775,3551,3921
06037108203,925300,3501,2671,46,37,0,39,300,124,96,21,37,875,53,1761,168,3157,0.4201,5,1175,5421.0,7105.0,0,1208,249,3157,2622,3128,861,1175,69,135,66,64,55,38,51,114,113,69,72,14,46,56,119,85,23,123,54,42,3157,668,201,1175,1208
06037108204,948200,3501,3065,0,0,0,0,46,83,96,137,31,612,33,898,50,1782,0.3285,7,658,3701.0,4038.0,0,658,108,1782,1634,1770,357,658,0,54,35,24,6,7,0,29,44,24,50,25,51,150,61,21,27,20,38,69,1782,414,198,658,658
06037109100,541400,1813,1806,5,58,21,13,273,45,110,27,20,614,66,1307,225,2554,0.4545,35,887,3286.0,4282.0,36,965,1293,2861,2559,2839,396,887,37,98,34,42,17,89,34,49,92,71,130,243,26,134,33,40,59,50,18,31,2861,395,188,887,965
06037109200,719700,3213,2902,16,29,29,0,151,38,20,66,191,926,43,1517,157,2863,0.3794,74,1077,5377.0,6259.0,0,1136,665,2863,2641,2839,358,1077,13,90,29,14,0,40,20,39,50,26,36,97,91,68,115,60,61,12,92,42,2863,600,298,1077,1136
06037109300,752100,3190,2671,6,6,18,0,111,34,81,116,26,818,63,1611,154,2895,0.4072,43,929,4710.0,5299.0,6,982,1327,2905,2648,2905,551,929,27,29,33,34,40,0,24,58,96,80,29,12,100,83,102,72,97,58,105,16,2905,456,326,929,982
06037109400,551900,2125,1092,9,22,10,0,358,61,104,8,13,773,69,2111,197,3615,0.4056,37,1131,4541.0,5934.0,0,1170,2863,3620,3444,3605,491,1131,18,46,69,75,10,10,44,117,86,100,51,35,75,96,93,53,24,122,61,104,3620,457,252,1131,1170
06037109500,642800,2382,2188,13,41,0,12,215,73,61,35,21,767,195,2071,654,3809,0.4101,64,982,4289.0,5184.0,11,1029,3441,3907,3725,3891,583,982,21,33,34,30,0,0,47,74,61,0,123,28,137,119,175,92,121,49,199,36,3907,385,280,982,1029
06037109601,686900,2563,2434,19,0,47,0,197,22,286,47,155,1133,284,2829,384,5042,0.3194,95,1330,6627.0,7490.0,0,1356,3025,5042,4524,4985,624,1330,33,166,68,61,9,38,69,53,83,32,28,131,57,97,74,97,189,140,101,42,5042,513,464,1330,1356
06037109603,673100,1773,2041,39,61,51,34,513,48,83,37,31,755,107,2155,478,4038,0.4224,68,1268,4327.0,6239.0,0,1268,2957,4038,3837,4009,578,1268,33,61,34,20,90,7,39,97,59,57,68,19,22,118,90,54,283,91,97,51,4038,408,243,1268,1268
06037109604,694900,1294,2750,6,13,20,30,169,64,70,76,73,704,57,1575,295,2721,0.3828,51,873,3894.0,4398.0,0,913,1929,2721,2591,2721,484,873,18,32,59,25,23,11,53,56,17,44,17,124,63,73,35,52,40,76,100,62,2721,351,338,873,913
06037109700,773600,2455,2800,43,21,30,49,396,13,108,56,103,987,146,2155,228,4203,0.426,9,1383,5869.0,7921.0,0,1442,1564,4259,4063,4249,772,1383,128,72,58,70,45,16,77,157,72,98,47,76,165,117,119,25,57,106,146,51,4259,600,370,1383,1442
06037109800,690400,2410,2569,45,10,47,25,379,54,54,87,85,1111,191,2299,467,4614,0.4335,66,1490,6488.0,8200.0,0,1524,2227,4625,4440,4613,786,1490,85,64,77,136,13,148,28,58,245,81,51,95,165,60,170,44,45,178,139,40,4625,675,372,1490,1524
06037111100,766700,2637,2952,0,37,81,13,362,43,59,33,33,574,84,1576,216,2963,0.4266,77,936,3505.0,5105.0,0,993,1429,2965,2553,2929,505,936,62,51,72,19,18,35,21,90,61,18,28,107,50,48,101,55,55,95,62,22,2965,376,137,936,993
06037111201,879700,2891,3096,8,38,23,0,136,78,51,47,43,894,130,1671,268,3270,0.4565,9,1030,6007.0,6754.0,0,1107,1644,3275,3144,3266,584,1030,50,34,112,121,50,8,33,37,51,49,17,65,136,48,79,88,29,30,111,113,3275,645,234,1030,1107
06037111202,752700,2961,2830,22,232,53,73,742,30,169,63,64,1189,382,2692,496,5534,0.4039,87,1931,7329.0,10915.0,0,1956,1754,5742,4974,5686,982,1931,48,55,145,25,37,60,14,33,91,207,113,85,128,65,181,57,26,120,340,121,5742,772,376,1931,1956
06037111204,1101800,3501,3861,0,22,44,20,231,152,131,191,91,1594,140,2850,126,5902,0.3841,39,1825,12536.0,13847.0,0,1903,1372,5902,5387,5802,1328,1825,71,90,207,160,92,104,75,133,255,110,76,90,202,163,90,181,130,92,184,218,5902,1097,454,1825,1903
06037111205,764900,1993,2987,22,45,187,21,594,78,166,93,57,750,121,2190,355,3627,0.4033,0,1344,4659.0,6809.0,0,1401,1029,3627,3494,3617,572,1344,10,24,103,49,21,39,54,72,109,47,26,11,90,88,244,56,97,65,125,69,3627,524,226,1344,1401
06037111206,918300,3370,2704,0,11,22,0,102,108,110,177,56,1262,146,2268,266,4289,0.3537,43,1364,8712.0,9213.0,0,1505,929,4295,4024,4272,859,1364,118,64,152,76,41,38,123,52,205,114,35,86,81,113,131,56,175,44,97,73,4295,937,316,1364,1505
06037111302,978100,2065,2425,53,46,150,92,934,42,39,30,72,823,119,3050,441,4891,0.4245,72,1757,5319.0,8489.0,0,1845,1425,4967,4661,4917,821,1757,39,67,77,60,76,19,48,43,98,101,41,88,67,90,92,82,158,104,109,14,4967,570,241,1757,1845
06037111303,877900,2525,3395,7,41,90,30,604,39,84,122,43,845,272,2331,248,4508,0.3616,54,1449,4814.0,7527.0,0,1484,1343,4567,4067,4489,948,1449,16,38,68,74,13,26,50,77,115,64,35,90,129,94,187,193,174,75,118,153,4567,592,238,1449,1484
06037111304,423300,1637,-666666666,134,80,64,34,1252,0,0,0,24,92,69,1969,793,3082,0.4698,7,1344,271.0,4104.0,0,1422,1520,3082,2480,3014,365,1344,0,62,17,50,8,0,39,92,67,0,0,0,47,23,0,42,106,15,97,30,3082,24,54,1344,1422
06037111401,811600,2450,2577,13,14,35,27,271,97,36,19,0,415,27,1153,86,2193,0.3498,69,686,2728.0,3827.0,0,686,870,2193,2070,2172,393,686,26,51,7,12,16,37,23,95,65,15,0,15,103,42,73,30,100,46,51,43,2193,214,193,686,686
06037111402,849000,1583,1228,57,94,391,84,1633,15,24,27,0,525,297,3041,866,5895,0.4726,156,2158,3284.0,8434.0,0,2180,2322,5998,5628,5935,937,2158,45,88,59,56,68,68,91,80,97,145,148,252,103,60,156,43,60,309,288,27,5998,403,118,2158,2180
06037113101,938500,3250,2862,0,13,0,0,130,83,67,44,95,1068,58,1703,420,3537,0.4056,35,1198,7671.0,8319.0,0,1223,553,3540,3183,3485,758,1198,34,53,58,112,86,29,58,66,89,180,46,245,161,28,93,53,30,67,78,76,3540,776,281,1198,1223
06037113102,1237500,-666666666,4001,0,0,0,0,31,134,96,192,5,1005,65,1413,104,2971,0.3994,19,1036,8214.0,8471.0,56,1041,646,2980,2691,2980,833,1036,49,68,73,77,61,42,16,69,79,98,24,49,35,153,151,34,34,38,118,25,2980,824,181,1036,1041
06037113211,667300,2860,2724,0,108,0,11,332,99,165,52,20,1292,90,2079,306,4112,0.415,53,1624,8334.0,10827.0,0,1735,659,4138,3894,4138,961,1624,25,52,72,145,36,15,67,33,159,147,84,69,88,169,54,155,29,41,62,241,4138,1039,209,1624,1735
