GEOID,B25077_001E,B25064_001E,B25088_001E,B25070_004E,B25070_005E,B25070_006E,B25070_007E,B25070_001E,B25091_005E,B25091_006E,B25091_007E,B25091_008E,B25091_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B19083_001E,B19057_002E,B19057_001E,B25022_002E,B25022_001E,B25034_002E,B25034_001E,B03003_003E,B03003_001E,B07001_017E,B07001_001E,B11001_003E,B11001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_001E,B25014_003E,B25014_004E,B25014_001E,B25001_001E
06037101110,739600,1720,2494,57,157,19,57,760,63,52,62,36,798,159,2313,476,4068,0.4644,90,1558,4532.0,7334.0,0,1679,1427,4152,3599,4098,785,1558,101,120,55,50,63,16,75,136,79,53,11,31,44,125,151,145,96,78,76,11,4152,523,257,1558,1679
06037101122,917600,3479,2663,0,8,25,13,311,69,92,85,58,1096,221,2270,266,4166,0.4399,68,1407,6986.0,8782.0,0,1452,413,4198,3997,4136,757,1407,49,66,149,54,32,115,71,149,111,38,110,76,99,72,58,61,93,71,134,69,4198,739,333,1407,1452
06037101220,734700,1441,2669,112,37,182,92,761,56,146,63,8,596,155,1805,610,3434,0.4761,95,1357,2801.0,5667.0,10,1380,1312,3434,3119,3434,657,1357,13,50,74,27,34,0,37,76,66,63,44,63,84,117,120,29,39,128,98,28,3434,344,228,1357,1380
06037101221,553500,1761,1838,110,72,145,71,1154,38,0,56,17,329,62,1896,555,3881,0.4481,45,1483,1416.0,5221.0,0,1569,1428,3931,3706,3931,660,1483,65,57,100,19,0,188,16,17,122,14,120,17,78,82,127,71,87,113,159,72,3931,204,85,1483,1569
06037101222,585500,1817,3132,164,120,62,11,873,51,0,0,0,75,78,1276,356,2564,0.4905,72,948,399.0,3279.0,0,1036,1274,2572,2327,2520,445,948,23,49,38,16,0,28,103,33,7,44,39,48,201,60,0,16,53,92,78,0,2572,18,57,948,1036
06037101300,890900,2870,2820,12,74,40,20,316,114,110,154,159,1197,166,2146,323,4165,0.4062,97,1513,6660.0,8026.0,0,1564,657,4210,3898,4192,838,1513,32,190,96,17,40,55,146,114,121,106,91,97,14,139,64,51,92,202,113,65,4210,828,332,1513,1564
06037101400,799200,1727,3000,0,31,21,0,366,94,63,100,128,970,206,1961,239,3485,0.4983,75,1336,5529.0,6709.0,0,1523,740,3489,3315,3459,631,1336,82,66,80,82,22,30,51,138,99,34,19,18,65,57,80,122,141,27,45,22,3489,573,372,1336,1523
06037102103,821300,2652,1875,24,6,0,51,299,5,19,5,36,415,69,988,184,2054,0.3792,75,714,2367.0,3699.0,19,821,102,2054,1925,2023,341,714,16,24,9,28,10,0,31,9,47,52,47,30,85,31,86,26,78,160,30,11,2054,183,223,714,821
06037102104,745800,3349,2638,0,35,50,13,301,54,45,100,92,998,111,1949,190,3828,0.4478,28,1299,5355.0,6961.0,0,1418,532,4052,3751,4035,736,1299,4,60,122,83,30,25,31,60,223,84,26,11,88,79,106,8,100,171,105,184,4052,547,451,1299,1418
06037102105,731800,1856,2664,34,25,39,0,213,31,60,15,22,305,20,801,156,1664,0.3922,21,518,1695.0,2563.0,0,561,1096,1664,1589,1630,302,518,4,43,49,5,7,20,24,21,55,10,0,25,87,0,67,47,107,78,13,38,1664,122,171,518,561
06037102107,964600,2182,3162,0,0,14,44,253,76,103,29,38,931,146,1724,483,3479,0.4622,52,1184,6275.0,7601.0,49,1255,606,3595,3323,3566,556,1184,11,45,186,48,24,29,40,76,82,65,45,152,57,91,62,0,79,125,27,81,3595,722,198,1184,1255
06037103101,798600,2185,2387,7,0,0,31,131,111,182,34,19,851,133,1656,110,2705,0.364,37,982,4974.0,5673.0,0,1001,586,2705,2506,2659,579,982,67,51,86,35,16,12,96,41,86,43,3,29,87,128,47,17,60,45,33,9,2705,533,318,982,1001
06037103102,616400,1709,2179,0,0,34,194,524,151,107,113,64,1122,266,2203,489,4439,0.4759,132,1646,6101.0,8104.0,0,1772,1039,4468,3811,4399,848,1646,72,54,85,100,51,38,116,135,171,187,16,39,144,74,115,70,130,73,106,13,4468,709,365,1646,1772
06037103201,733900,1727,2447,134,141,28,75,1129,41,30,33,47,452,205,2343,444,4305,0.4564,65,1581,2362.0,6961.0,0,1698,1673,4425,4117,4408,676,1581,58,35,142,43,165,12,0,38,70,144,0,38,97,136,44,103,46,14,134,94,4425,290,144,1581,1698
06037103202,855700,-666666666,3213,27,6,12,0,45,40,47,25,26,604,47,1062,48,1940,0.3167,0,649,4295.0,4541.0,0,697,401,1945,1924,1928,387,649,146,73,42,13,51,5,16,39,40,34,0,15,34,5,8,45,103,32,113,15,1945,423,181,649,697
06037103300,1113500,2767,3248,0,0,7,0,172,79,102,120,65,1124,150,1851,342,4010,0.4354,112,1296,7814.0,8780.0,0,1441,492,4021,3756,3965,748,1296,67,45,57,76,26,24,34,46,180,87,55,56,23,156,254,90,58,164,177,64,4021,731,358,1296,1441
06037103401,778800,2192,2229,8,29,45,13,219,76,39,54,101,753,111,1358,139,2552,0.3927,24,972,4064.0,5098.0,0,1084,308,2552,2199,2439,401,972,62,42,103,39,87,32,0,111,114,60,45,30,163,13,126,0,57,14,82,52,2552,588,140,972,1084
06037103402,731000,1416,2032,21,121,103,16,461,72,61,74,92,917,64,2203,324,3750,0.4087,134,1378,5160.0,6943.0,0,1563,582,3809,3646,3797,721,1378,95,85,113,64,15,34,123,47,108,77,64,39,160,116,31,0,58,81,185,88,3809,640,261,1378,1563
06037104103,669100,2309,2516,7,21,0,0,143,98,106,55,21,725,219,2050,488,4092,0.381,47,868,4602.0,5425.0,0,886,3023,4257,3825,4238,465,868,63,177,52,38,19,22,48,55,64,49,94,93,158,55,124,110,31,132,121,82,4257,330,323,868,886
06037104105,470200,1428,2081,0,81,76,32,800,105,56,110,33,780,217,2844,1296,5887,0.4338,184,1580,4102.0,7848.0,0,1618,4686,5890,5388,5853,680,1580,143,31,86,26,24,93,4,100,76,132,84,80,142,191,295,261,175,171,175,137,5890,353,322,1580,1618
06037104108,583900,1889,1740,19,46,153,57,753,28,48,30,41,538,99,2376,684,4952,0.4525,125,1291,3262.0,6165.0,0,1381,4124,4952,4682,4898,578,1291,61,64,146,9,12,35,29,133,55,101,42,33,150,258,238,40,99,118,76,117,4952,185,285,1291,1381
06037104124,677600,1210,3024,0,9,18,11,218,94,84,132,50,1107,244,2307,362,4063,0.4646,21,1325,6437.0,7620.0,45,1374,1988,4090,3893,4089,667,1325,71,24,34,124,32,0,71,122,83,137,0,68,72,50,131,59,130,71,82,55,4090,686,330,1325,1374
06037104201,622300,2138,1867,26,0,35,14,204,92,0,93,37,659,218,2359,471,4325,0.454,3,863,4136.0,5025.0,0,890,3660,4325,4082,4306,497,863,31,78,106,32,29,0,71,19,77,24,0,43,74,175,181,72,152,40,81,79,4325,289,259,863,890
06037104203,551900,1614,1916,32,1,58,67,412,65,74,101,0,662,236,2400,1063,4845,0.4279,20,1074,4212.0,5946.0,0,1164,4625,4978,4774,4911,655,1074,14,48,63,84,11,45,0,52,78,39,30,84,82,184,275,40,194,103,159,136,4978,192,367,1074,1164
06037104204,565400,1375,2270,73,14,7,11,224,60,85,41,29,494,63,1474,481,3382,0.4587,28,718,2945.0,3938.0,25,736,2932,3736,3520,3719,437,718,51,32,57,16,17,42,37,47,15,55,37,42,104,49,124,129,170,99,128,48,3736,167,223,718,736
06037104310,611300,2227,2031,0,7,60,23,183,74,51,57,20,702,148,2296,543,4411,0.3799,36,885,4598.0,5470.0,0,930,4251,4476,4411,4444,523,885,115,32,40,21,13,14,134,107,105,36,26,27,44,89,228,158,67,119,121,91,4476,276,268,885,930
06037104321,604100,-666666666,2004,65,41,32,0,420,14,55,37,0,353,112,1401,458,2926,0.3856,15,773,1830.0,3450.0,0,829,2795,2926,2578,2883,335,773,51,4,59,63,16,6,204,30,43,14,15,0,50,161,92,44,50,24,137,23,2926,75,150,773,829
06037104322,595300,1532,2351,3,0,16,44,150,25,40,30,18,295,23,949,143,1844,0.3944,70,445,1710.0,2180.0,0,460,1685,1856,1609,1816,256,445,2,24,29,2,0,3,23,37,28,18,17,0,60,53,68,43,50,35,25,32,1856,105,161,445,460
06037104401,642000,1764,2519,0,47,29,26,279,48,9,31,0,344,54,1382,671,3083,0.4184,38,623,1937.0,3151.0,0,680,2966,3083,2975,3031,334,623,14,26,51,4,10,13,27,73,68,9,23,6,65,81,164,169,99,100,125,75,3083,89,148,623,680
06037104403,614400,2345,1568,11,16,0,19,162,10,4,18,28,348,118,1282,506,2232,0.5248,8,510,1927.0,2713.0,0,582,2169,2292,2143,2246,276,510,52,38,45,23,0,23,34,94,59,11,31,28,115,210,17,63,22,30,14,31,2292,128,136,510,582
06037104404,597300,1840,2382,60,62,14,16,423,66,22,11,14,323,136,1696,472,3328,0.419,18,746,1840.0,3549.0,0,746,3307,3374,3275,3310,335,746,32,26,78,0,0,0,60,28,22,58,26,22,155,49,102,78,82,170,174,144,3374,111,98,746,746
06037104500,564800,2305,1873,0,22,0,0,168,78,2,35,60,453,96,1527,1187,3507,0.4226,68,621,2589.0,3453.0,0,643,3444,3539,3375,3531,300,621,18,28,52,28,12,0,24,34,51,56,28,21,232,132,167,118,131,164,225,65,3539,118,176,621,643
06037104610,620800,1843,2096,20,28,19,18,266,43,31,27,30,386,39,1474,266,3053,0.4042,19,652,2056.0,3290.0,0,702,3024,3124,2900,3084,380,652,39,46,78,6,13,14,7,47,93,18,51,17,97,91,78,65,102,86,178,125,3124,76,199,652,702
06037104620,603900,1660,2629,49,0,15,23,235,26,30,35,19,468,67,1604,632,3222,0.3995,63,703,2727.0,3636.0,0,703,3106,3266,3005,3212,426,703,4,29,71,23,32,23,12,43,64,41,4,20,101,102,66,40,162,75,207,130,3266,115,246,703,703
06037104701,621200,1349,1895,76,53,158,90,727,0,0,64,11,226,252,1910,1184,3904,0.3642,113,953,1236.0,5053.0,0,1001,3851,3916,3825,3916,470,953,58,0,42,48,15,22,6,26,27,23,8,10,121,128,340,148,26,44,83,91,3916,35,166,953,1001
06037104703,479200,1831,1394,71,16,62,39,371,0,19,12,8,236,106,1186,409,2306,0.431,65,607,1174.0,2622.0,6,657,1874,2306,2164,2295,219,607,28,13,0,23,13,14,34,17,39,12,27,0,39,131,100,44,50,73,121,50,2306,177,16,607,657
06037104704,350000,2276,1638,39,36,6,62,432,39,26,52,43,799,101,2378,1085,4580,0.4281,4,1231,4424.0,6176.0,0,1282,3809,4662,4290,4589,550,1231,37,41,30,61,56,0,33,42,34,49,22,0,145,225,108,121,145,153,264,148,4662,351,223,1231,1282
06037104821,661800,1682,1852,72,84,49,84,462,13,38,19,7,289,146,1672,558,3403,0.3696,62,751,1678.0,3725.0,0,771,3249,3476,3382,3458,303,751,37,31,26,15,28,20,0,67,85,36,41,62,151,116,157,97,63,103,55,70,3476,49,178,751,771
06037104822,665200,1614,2125,32,25,65,35,420,40,27,19,0,217,134,1073,603,2199,0.4565,38,637,1256.0,2819.0,0,651,2034,2199,1961,2192,254,637,32,0,22,12,16,4,21,30,38,66,40,34,27,101,70,32,84,73,105,99,2199,100,92,637,651
06037104823,634300,3501,2050,10,0,0,23,129,28,10,112,47,563,136,1410,707,3195,0.4055,100,692,3048.0,3774.0,0,710,2639,3195,3069,3160,377,692,8,0,2,81,19,8,39,2,30,43,34,28,176,129,101,105,64,154,185,93,3195,250,128,692,710
06037104824,601900,1836,2376,17,0,0,0,95,13,98,79,7,391,57,1337,272,2582,0.2811,75,486,2703.0,3141.0,0,494,2535,2582,2443,2582,212,486,160,0,0,19,9,5,24,0,42,14,0,23,128,46,145,136,37,89,34,16,2582,98,275,486,494
06037106010,688700,2667,2838,6,10,4,44,179,62,101,63,39,759,89,1923,208,4037,0.3426,59,938,4712.0,5686.0,6,972,3042,4049,3882,4000,639,938,32,67,68,30,12,46,45,50,90,48,56,34,174,96,154,99,191,44,228,113,4049,343,303,938,972
06037106020,700800,2816,2610,49,8,22,0,359,115,99,135,41,939,170,2613,842,4847,0.3679,60,1298,5745.0,7713.0,0,1342,3664,4850,4463,4776,758,1298,9,86,71,76,35,10,71,55,56,185,38,15,100,115,303,122,140,102,56,41,4850,474,349,1298,1342
06037106111,613700,-666666666,1823,0,0,0,0,55,131,66,80,55,1335,150,2417,228,4698,0.3625,44,1390,8065.0,8560.0,8,1452,2726,4707,4385,4686,916,1390,100,109,147,22,32,40,32,68,74,11,65,36,117,241,126,113,46,119,68,142,4707,751,483,1390,1452
06037106112,652000,2589,2385,55,62,0,0,261,94,82,51,109,1169,126,2824,709,4920,0.343,20,1430,7325.0,8941.0,0,1479,3622,5035,4713,4996,797,1430,73,85,104,27,33,36,33,147,126,48,31,31,92,86,99,106,13,145,251,213,5035,739,346,1430,1479
06037106113,661900,1804,2268,21,0,0,0,106,40,135,89,48,932,168,2019,129,3743,0.3169,0,1038,5830.0,6359.0,43,1038,2656,3835,3635,3745,760,1038,62,30,52,53,11,14,21,27,124,44,15,47,127,45,202,183,62,105,102,83,3835,428,422,1038,1038
06037106114,548800,2051,2093,85,66,138,48,933,152,83,45,21,897,159,3527,1731,6929,0.4264,174,1830,4899.0,8939.0,28,1888,5757,6929,6250,6867,933,1830,42,5,183,0,41,35,38,141,31,13,26,34,259,335,257,203,333,208,260,233,6929,377,474,1830,1888
06037106403,648200,1738,2131,0,6,9,0,201,48,49,33,15,653,83,1870,334,3814,0.4204,48,854,4057.0,5078.0,0,860,3209,3860,3741,3837,492,854,52,33,16,49,14,7,3,53,76,45,18,8,156,110,166,118,121,100,171,115,3860,273,291,854,860
06037106405,532600,1329,2167,43,52,93,89,418,32,127,96,81,729,237,2292,710,4073,0.3752,117,1147,4052.0,6179.0,45,1199,3016,4149,3915,4138,558,1147,11,30,63,49,18,8,62,61,27,0,9,27,135,130,297,22,111,148,35,76,4149,338,382,1147,1199
06037106406,501800,2539,2364,45,20,91,44,432,61,62,178,63,1448,120,3651,234,6292,0.366,52,1880,8023.0,10228.0,0,2007,4405,6292,5537,6252,781,1880,75,32,75,36,26,78,87,98,274,119,0,36,166,98,276,41,144,162,248,100,6292,722,670,1880,2007
06037106407,358900,1639,1618,24,52,71,92,696,0,7,13,3,132,102,993,759,2183,0.4624,38,828,614.0,3494.0,5,909,1908,2333,1949,2317,272,828,24,27,22,6,38,35,30,28,70,44,88,61,69,125,54,86,60,81,63,47,2333,66,59,828,909
06037106408,466100,1946,2316,37,76,107,89,820,0,45,7,18,166,95,1617,1121,3789,0.3923,100,986,816.0,4102.0,0,1071,3451,3832,3405,3746,357,986,7,7,13,17,5,0,5,36,33,30,0,0,184,140,264,162,282,174,205,61,3832,82,72,986,1071
06037106510,707600,2704,3260,17,26,23,25,354,68,150,174,139,1247,303,2998,833,5373,0.3628,34,1601,7553.0,9477.0,0,1751,3249,5599,4927,5492,1066,1601,11,9,152,30,0,21,92,62,94,16,9,59,214,172,214,185,114,177,181,187,5599,630,486,1601,1751
06037106520,637300,1944,1922,18,101,0,54,422,93,41,43,38,980,134,2697,711,5475,0.4265,73,1402,5674.0,7684.0,11,1483,4779,5484,5371,5446,644,1402,71,102,113,44,38,52,18,77,199,97,37,27,115,226,89,169,171,136,79,135,5484,373,459,1402,1483
06037106603,958200,2420,3501,2,0,0,0,135,173,61,106,53,1081,119,1802,209,3679,0.4334,16,1216,8517.0,9411.0,0,1216,985,3681,3629,3681,833,1216,114,62,147,55,38,39,49,89,59,58,19,30,29,155,133,100,88,113,115,101,3681,864,217,1216,1216
06037106604,733400,1850,2559,0,30,146,109,788,85,7,0,18,493,80,2267,539,4349,0.4552,102,1281,3151.0,6431.0,0,1281,3800,4349,3806,4255,722,1281,58,32,105,6,39,75,106,21,46,8,27,80,156,84,146,72,81,0,136,176,4349,299,131,1281,1281
