GEOID,B25077_001E,B25064_001E,B25088_001E,B25070_004E,B25070_005E,B25070_006E,B25070_007E,B25070_001E,B25091_005E,B25091_006E,B25091_007E,B25091_008E,B25091_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B19083_001E,B19057_002E,B19057_001E,B25022_002E,B25022_001E,B25034_002E,B25034_001E,B03003_003E,B03003_001E,B07001_017E,B07001_001E,B11001_003E,B11001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_001E,B25014_003E,B25014_004E,B25014_001E,B25001_001E
06037103201,645700,1672,2403,138,69,51,54,1051,43,74,63,40,526,233,2323,434,4172,0.4986,11,1577,2608.0,6864.0,0,1656,1594,4291,4048,4286,626,1577,125,9,138,13,110,17,0,55,113,73,0,27,140,61,46,39,62,84,131,67,4291,236,241,1577,1656
06037103202,822100,-666666666,3252,0,0,12,0,12,66,51,21,51,623,12,1052,46,2005,0.3606,0,635,,,0,680,471,2010,1809,1998,363,635,144,102,41,9,69,6,15,37,33,42,42,20,78,0,0,25,62,68,86,11,2010,429,165,635,680
06037103300,1048900,2750,3265,0,0,0,0,77,106,124,95,75,1161,159,1782,237,3811,0.4312,114,1238,7938.0,8298.0,0,1390,477,3816,3456,3744,758,1238,56,72,63,74,25,52,18,52,188,68,48,51,33,163,250,112,55,158,156,56,3816,739,385,1238,1390
06037103401,692100,1990,2286,2,28,30,11,127,84,56,77,61,833,139,1355,104,2391,0.4198,20,960,4675.0,5206.0,0,1067,276,2391,2039,2305,399,960,61,56,78,39,73,38,11,126,89,46,56,24,86,11,106,0,189,54,13,0,2391,612,221,960,1067
06037103402,748200,1455,2074,13,81,73,15,341,81,98,72,35,1002,60,2053,236,3768,0.3583,92,1343,5661.0,6974.0,0,1477,607,3829,3610,3741,769,1343,41,100,99,59,6,36,97,75,102,57,69,27,176,94,58,0,110,56,170,65,3829,719,249,1343,1477
06037104103,630400,2273,2492,7,32,8,0,120,121,125,51,26,745,167,2094,194,4127,0.3485,56,865,4711.0,5417.0,0,886,3070,4281,3915,4255,530,865,63,151,31,58,30,37,36,40,45,77,97,96,185,72,82,105,40,99,132,76,4281,348,305,865,886
06037104105,459300,1506,2041,0,57,65,21,730,107,104,76,21,859,220,2646,1405,6193,0.4086,157,1589,4519.0,8027.0,0,1621,5327,6195,5677,6158,785,1589,151,5,53,24,44,0,19,88,68,136,13,92,180,248,351,224,200,213,309,191,6195,302,488,1589,1621
06037104108,586900,1699,1753,6,76,158,29,770,47,65,51,25,499,124,2408,705,4962,0.4734,122,1269,3078.0,5673.0,0,1346,4435,4962,4783,4917,498,1269,45,15,126,8,29,13,23,100,44,67,39,61,168,298,189,71,152,202,52,57,4962,127,313,1269,1346
06037104124,623700,1848,2758,21,23,42,21,301,47,95,84,19,1009,301,2089,481,3942,0.467,12,1310,6135.0,8038.0,7,1376,1867,4006,3737,3957,623,1310,29,51,24,62,17,0,41,105,133,109,0,29,270,72,79,36,33,60,37,47,4006,663,339,1310,1376
06037104201,606000,1878,2042,26,0,14,15,186,75,37,66,55,685,123,2256,529,4636,0.4918,17,871,4180.0,4993.0,0,901,3893,4636,4410,4593,492,871,40,81,124,28,28,0,39,34,78,35,0,64,105,165,178,109,176,54,77,113,4636,307,226,871,901
06037104203,489100,1479,1976,29,0,112,74,471,85,131,46,20,653,223,2457,1047,5158,0.4234,21,1124,4109.0,6021.0,0,1155,4852,5182,4927,5103,591,1124,21,46,70,76,13,14,0,70,87,42,58,31,92,226,220,38,219,212,172,155,5182,146,387,1124,1155
06037104204,525500,1450,2108,57,9,0,13,233,57,70,54,24,482,81,1580,426,3338,0.4242,27,715,2895.0,4002.0,15,744,2854,3691,3373,3667,416,715,37,29,49,17,16,19,31,46,13,66,31,43,78,54,111,132,171,82,117,54,3691,192,214,715,744
06037104310,588600,2662,1947,0,20,41,9,159,61,66,58,18,768,163,2356,342,4361,0.3681,41,927,5059.0,5881.0,0,958,4081,4392,4299,4336,497,927,91,32,32,23,6,16,126,116,89,27,24,16,48,65,200,76,96,106,158,78,4392,333,304,927,958
06037104321,604900,1155,1457,35,59,32,25,492,10,40,37,0,328,112,1285,662,2890,0.4071,14,820,1676.0,3358.0,0,887,2747,2890,2463,2846,284,820,33,10,37,68,0,8,200,9,29,17,21,0,64,178,87,38,46,26,141,25,2890,52,157,820,887
06037104322,582100,1106,2088,3,10,10,23,145,19,62,11,19,300,0,862,91,1787,0.3496,60,445,1765.0,2172.0,0,460,1634,1787,1523,1721,282,445,9,7,55,0,0,3,10,40,52,10,38,0,27,79,40,37,96,36,24,23,1787,70,222,445,460
06037104401,604600,1488,1986,20,35,21,25,287,29,0,31,8,320,69,1356,694,2977,0.4114,29,607,1838.0,3046.0,0,665,2829,2977,2874,2931,338,607,29,45,38,16,9,13,26,62,83,22,24,0,55,86,157,148,86,90,111,63,2977,77,148,607,665
06037104403,573700,1839,1656,10,11,12,26,145,20,36,39,12,392,89,1286,373,2308,0.5139,10,537,2160.0,2905.0,0,605,2202,2352,2228,2320,266,537,48,30,41,36,0,24,36,76,75,16,47,46,106,172,31,40,21,35,45,19,2352,168,149,537,605
06037104404,580600,1650,2272,56,57,0,17,398,56,35,20,15,358,152,1651,545,3293,0.4069,38,756,2050.0,3675.0,0,765,3196,3323,3236,3272,336,756,35,41,71,18,0,0,65,22,25,71,16,26,113,74,145,110,43,108,121,148,3323,143,111,756,765
06037104500,543900,3043,1857,0,11,0,0,124,82,31,14,20,502,68,1516,1061,3266,0.4288,53,626,2772.0,3484.0,0,647,3228,3301,3122,3294,345,626,27,16,55,16,24,1,14,33,48,44,30,1,197,93,108,49,123,169,207,83,3301,172,204,626,647
06037104610,595800,2007,2170,18,7,23,4,215,71,30,28,51,425,28,1427,268,3065,0.4052,21,640,2172.0,3116.0,0,716,3035,3122,2883,3106,355,640,48,26,73,14,9,17,20,40,73,0,49,18,72,102,86,84,128,99,177,104,3122,74,184,640,716
06037104620,581400,1645,2415,52,0,38,19,281,20,21,27,32,441,88,1725,614,3475,0.396,53,722,2678.0,3788.0,0,722,3435,3528,3241,3473,479,722,13,49,55,27,27,24,14,45,74,46,17,20,109,95,40,59,154,91,201,96,3528,121,186,722,722
06037104701,612400,1349,2083,78,51,135,65,708,10,0,41,31,201,146,1608,898,3875,0.3841,108,909,1073.0,4583.0,0,953,3837,3891,3789,3882,414,909,44,6,25,50,18,22,6,39,32,25,8,13,160,167,299,164,32,149,180,104,3891,54,86,909,953
06037104703,549500,1676,1813,107,64,22,81,417,0,0,21,8,176,83,1063,389,2298,0.4183,53,593,795.0,2340.0,6,670,1994,2298,2205,2298,227,593,6,18,13,18,5,7,12,11,60,18,18,0,59,118,97,89,31,55,145,34,2298,109,41,593,670
06037104704,310900,1864,1636,17,75,14,74,424,34,38,50,23,774,89,1979,1077,4492,0.404,25,1198,4287.0,5921.0,0,1262,3533,4567,4226,4479,492,1198,41,24,31,63,90,23,33,58,35,61,16,0,142,237,177,73,190,178,274,162,4567,337,230,1198,1262
06037104821,527300,1665,2229,65,87,35,83,475,7,36,10,3,277,126,1639,578,3311,0.3829,83,752,1499.0,3562.0,0,772,3170,3431,3349,3405,327,752,25,19,31,15,16,0,0,86,43,22,35,49,75,120,149,31,89,182,86,91,3431,52,174,752,772
06037104822,635700,1946,2007,33,25,61,16,430,27,20,16,0,214,135,1153,633,2461,0.4487,49,644,1184.0,2797.0,0,659,2298,2461,2144,2453,272,644,34,6,28,13,16,16,23,27,22,73,38,41,52,120,65,52,89,112,110,77,2461,67,109,644,659
06037104823,603100,2721,1734,6,0,31,16,196,23,34,73,36,497,115,1401,862,3362,0.3932,82,693,2593.0,3591.0,0,729,2904,3362,3240,3330,362,693,0,0,0,74,24,14,22,0,27,47,58,15,238,90,160,148,46,168,161,63,3362,201,129,693,729
06037104824,598600,1205,1953,36,0,0,0,105,15,92,82,0,405,36,1273,123,2657,0.3018,70,510,2761.0,3232.0,0,510,2575,2657,2524,2657,228,510,168,0,0,18,16,10,7,13,57,3,0,41,123,55,215,82,78,99,41,24,2657,109,264,510,510
06037106010,678900,2320,3085,19,11,18,71,207,84,100,54,37,693,87,1810,185,3573,0.3382,34,900,4084.0,5140.0,13,941,2422,3578,3376,3530,594,900,14,30,56,24,19,32,29,51,86,44,22,32,168,97,100,86,214,32,156,80,3578,350,238,900,941
06037106020,625900,1855,2500,55,58,3,0,305,152,100,120,48,978,246,2359,864,4571,0.3728,14,1283,5907.0,7375.0,0,1328,3706,4576,4297,4533,710,1283,20,138,46,103,0,16,99,132,70,126,67,18,80,55,172,83,70,80,126,27,4576,468,399,1283,1328
06037106111,587900,-666666666,1827,0,0,0,0,73,145,59,59,69,1295,180,2544,249,4854,0.3619,39,1368,7703.0,8281.0,8,1445,2707,4859,4571,4838,884,1368,104,115,138,20,30,35,39,83,78,16,78,27,69,225,161,90,106,131,96,108,4859,674,498,1368,1445
06037106112,619000,2671,2413,34,76,0,0,216,123,99,77,140,1178,86,2830,730,4993,0.3549,26,1394,7176.0,8602.0,0,1431,3575,5125,4748,5082,791,1394,41,57,100,44,61,78,38,133,115,64,39,43,105,129,114,118,18,138,223,141,5125,655,443,1394,1431
06037106113,641000,1817,2412,17,0,25,0,181,38,122,79,62,836,149,1978,209,3772,0.3151,0,1017,4930.0,5893.0,0,1047,2916,3871,3728,3821,702,1017,55,27,71,44,10,12,14,43,86,66,13,61,109,51,209,145,31,98,149,109,3871,324,412,1017,1047
06037106114,485900,2013,2116,70,61,102,81,814,162,58,109,28,891,166,3378,1486,6800,0.4306,176,1705,5095.0,8716.0,21,1803,5573,6800,6057,6759,857,1705,47,4,186,23,0,40,10,175,28,0,6,43,197,244,331,221,332,236,231,227,6800,326,487,1705,1803
06037106403,636600,1362,2111,16,0,10,0,223,62,47,44,23,647,92,1838,278,3657,0.4294,56,870,4119.0,5244.0,0,883,3233,3701,3596,3669,498,870,45,18,8,49,14,12,2,25,87,50,11,14,117,111,207,87,115,126,159,100,3701,304,267,870,883
06037106405,468900,1684,1829,27,53,150,117,482,39,103,90,49,708,259,2335,878,4263,0.3771,121,1190,3891.0,6291.0,46,1222,3083,4340,4117,4330,544,1190,51,44,57,33,29,9,62,43,10,40,1,0,152,123,290,48,109,156,46,49,4340,349,351,1190,1222
06037106406,466700,2561,2234,29,15,105,45,421,93,32,157,58,1424,120,3905,251,6524,0.4306,35,1845,7845.0,9957.0,0,1984,4583,6534,5839,6508,678,1845,77,17,74,29,48,89,67,73,253,100,14,40,197,85,247,29,136,176,244,89,6534,708,604,1845,1984
06037106407,355400,1876,1606,22,18,80,112,680,0,6,11,6,132,91,1001,717,2185,0.4275,64,812,620.0,3545.0,5,915,1843,2352,1927,2337,256,812,30,17,22,9,23,32,28,18,75,42,61,85,67,146,87,89,36,89,103,24,2352,69,51,812,915
06037106408,469700,1703,2031,75,67,83,71,824,0,61,4,23,176,95,1625,1198,3690,0.3956,86,1000,973.0,4097.0,0,1080,3445,3733,3205,3626,347,1000,7,5,1,24,4,0,9,41,37,21,0,0,150,152,261,100,325,165,175,39,3733,132,33,1000,1080
06037106510,675200,2363,3104,7,33,21,22,371,78,117,176,204,1259,286,3126,844,5463,0.3721,12,1630,7648.0,9567.0,0,1716,3309,5717,4938,5612,999,1630,3,0,113,49,0,22,83,42,84,43,9,63,176,180,334,170,129,167,150,206,5717,675,421,1630,1716
06037106520,642300,1889,2091,22,100,0,23,419,113,87,80,36,1002,154,2774,841,5521,0.4201,43,1421,5917.0,8094.0,10,1497,4758,5545,5358,5508,744,1421,56,46,58,54,15,52,11,76,139,102,40,27,124,276,127,158,135,171,115,99,5545,466,413,1421,1497
06037106603,909800,3501,3355,13,11,0,0,142,172,44,108,48,1043,88,1814,217,3540,0.4292,14,1185,8015.0,9010.0,0,1200,1050,3544,3351,3538,765,1185,98,62,143,43,50,39,44,89,53,58,39,32,39,123,99,87,88,95,114,100,3544,845,195,1185,1200
06037106604,666200,1781,1956,0,9,142,113,725,94,10,0,26,516,54,2106,452,4010,0.4462,75,1241,3365.0,6411.0,0,1258,3489,4010,3555,3900,700,1241,71,38,61,8,47,93,73,36,47,24,30,76,130,80,144,26,114,0,55,168,4010,312,163,1241,1258
06037106641,926800,3273,2696,0,0,0,0,88,75,70,69,22,658,81,1205,134,2176,0.4731,6,746,4575.0,5146.0,0,782,116,2197,2105,2169,484,746,23,13,41,71,30,6,12,15,108,48,19,24,131,54,62,40,52,41,66,30,2197,454,179,746,782
06037106642,863100,2966,2822,11,0,8,33,119,230,57,88,51,1028,120,1777,275,3413,0.3696,0,1147,6561.0,7364.0,0,1194,728,3442,3381,3428,706,1147,31,25,89,86,18,30,19,25,65,72,63,47,102,99,69,30,48,129,124,89,3442,648,338,1147,1194
06037106643,1066500,3501,4001,0,11,68,0,94,82,130,22,128,1259,109,2114,73,4306,0.4297,28,1353,9663.0,10220.0,0,1468,470,4306,3959,4232,1057,1353,69,136,124,29,27,33,75,76,324,27,17,14,94,126,98,45,186,95,0,93,4306,934,317,1353,1468
06037106645,963200,-666666666,2961,0,0,0,0,112,180,92,96,27,1134,193,1790,191,3769,0.4505,23,1246,,,0,1300,923,3769,3586,3718,809,1246,50,67,68,90,22,60,31,76,144,87,47,82,63,151,171,82,172,206,85,88,3769,796,289,1246,1300
06037106646,701400,1950,2674,34,0,8,0,150,39,96,101,72,813,130,1451,187,2900,0.3676,45,963,5232.0,6184.0,0,996,802,3011,2790,2941,528,963,38,7,75,65,12,54,28,41,57,72,39,123,79,79,72,54,104,64,84,44,3011,552,256,963,996
06037106648,540700,1368,1841,43,18,78,38,684,26,38,45,14,487,33,2240,726,4581,0.42,70,1171,2675.0,5733.0,0,1198,4328,4581,4313,4539,615,1171,84,64,54,47,42,5,85,26,53,66,34,24,144,151,182,175,167,225,68,114,4581,189,265,1171,1198
06037106649,641100,2571,2435,0,6,12,0,94,72,41,51,61,547,96,1292,198,2776,0.4111,20,641,3326.0,3875.0,0,681,1916,2776,2524,2746,383,641,16,48,71,11,12,0,33,33,55,28,37,134,93,90,89,54,13,107,67,45,2776,242,217,641,681
06037107010,613200,1870,1897,0,26,26,16,240,48,38,35,49,520,84,1678,119,3110,0.3857,26,760,3035.0,4016.0,8,793,2859,3177,2989,3137,382,760,13,68,78,24,0,9,67,14,82,26,3,50,44,102,107,77,64,46,81,112,3177,211,256,760,793
06037107020,569700,1823,2432,20,15,26,39,373,117,59,88,48,778,185,2070,970,4610,0.4157,32,1151,4354.0,6110.0,0,1231,4044,4610,4257,4528,591,1151,59,33,118,25,30,0,36,70,46,19,31,54,323,207,147,246,75,143,206,114,4610,268,417,1151,1231
06037108101,896300,3501,2750,6,28,0,7,97,133,98,86,26,665,61,1155,103,2274,0.3546,4,762,4621.0,5177.0,0,787,524,2274,2155,2256,542,762,50,29,55,63,26,32,16,25,92,63,51,52,71,87,68,13,46,61,14,4,2274,502,156,762,787
06037108102,865400,3220,3198,0,24,0,0,140,111,92,54,45,1045,130,1746,571,3592,0.4344,16,1185,7203.0,8028.0,0,1221,430,3596,3503,3596,688,1185,39,10,93,43,68,115,7,64,119,69,83,71,40,52,171,74,37,123,166,80,3596,780,217,1185,1221
06037108103,1030300,3501,3542,0,0,0,27,86,93,80,142,18,890,91,1623,166,2968,0.437,0,976,6906.0,7520.0,0,1028,250,2968,2724,2823,772,976,5,64,91,86,60,55,31,54,100,44,49,37,33,0,82,58,143,45,16,47,2968,681,204,976,1028
06037108104,933400,3501,2681,0,29,17,0,114,34,47,22,19,439,10,611,32,1738,0.3653,10,553,2941.0,3681.0,0,596,167,1738,1401,1734,434,553,18,41,60,35,15,17,12,53,57,21,29,23,150,40,83,26,88,28,71,20,1738,334,73,553,596
06037108202,1241300,2761,4001,51,0,76,180,966,254,242,266,175,2288,124,5288,300,9246,0.4381,41,3254,16413.0,19875.0,299,3607,745,9302,7989,9165,1960,3254,51,0,285,78,24,0,286,169,197,134,24,76,274,585,294,153,173,325,318,234,9302,1651,637,3254,3607
06037108203,851500,3501,2978,26,36,22,32,356,85,91,53,53,800,52,1630,147,3170,0.4017,26,1156,5078.0,7159.0,0,1200,265,3170,2770,3170,777,1156,71,130,72,77,54,22,28,114,103,89,60,17,19,26,168,96,19,91,99,100,3170,611,179,1156,1200
06037108204,896800,-666666666,2907,0,0,0,0,35,81,84,150,22,616,13,900,37,1780,0.3384,5,651,3744.0,4022.0,0,651,89,1780,1498,1767,377,651,6,51,52,17,7,0,0,47,36,21,52,4,60,130,32,16,45,91,44,32,1780,397,219,651,651
06037109100,559900,2513,1603,0,25,17,15,232,39,87,26,14,618,90,1160,211,2348,0.475,25,850,3522.0,4349.0,40,930,1287,2675,2404,2647,355,850,44,98,47,47,22,113,29,54,96,75,110,269,54,47,41,43,48,42,13,23,2675,418,178,850,930
06037109200,699500,2898,2652,9,45,24,6,158,45,28,77,146,865,41,1719,150,3161,0.3772,71,1023,5187.0,6075.0,0,1123,1213,3161,2810,3137,477,1023,22,87,35,22,19,40,16,25,57,34,40,54,130,99,155,76,76,0,79,0,3161,506,314,1023,1123
06037109300,694600,3417,2671,0,6,17,7,76,53,64,137,24,828,75,1642,173,2850,0.4153,25,904,4922.0,5352.0,6,971,1402,2864,2679,2864,551,904,25,61,20,28,44,0,11,65,85,75,19,20,94,86,107,45,106,43,99,33,2864,485,313,904,971
06037109400,491700,2520,1125,17,18,9,0,308,91,80,0,22,826,41,2281,181,4170,0.3809,47,1134,4730.0,5979.0,0,1171,3255,4175,3975,4158,571,1134,26,52,23,73,45,48,31,61,52,124,69,22,70,119,71,72,24,172,32,185,4175,424,288,1134,1171
06037109500,627500,2150,1563,38,28,0,26,329,62,40,7,17,661,180,2119,534,3634,0.4014,91,990,3814.0,5229.0,10,1015,3352,3699,3509,3680,542,990,42,31,40,33,0,0,18,37,59,7,103,22,62,76,164,112,67,61,173,30,3699,317,275,990,1015
06037109601,649100,3501,2386,8,0,12,34,159,68,264,36,152,1151,214,2749,254,4831,0.3419,94,1310,6683.0,7451.0,0,1342,3000,4831,4385,4792,652,1310,48,98,58,56,31,25,35,54,108,73,44,94,94,62,113,127,167,157,75,38,4831,538,489,1310,1342
06037109603,644800,1662,1935,10,35,67,54,480,13,75,4,25,762,107,2046,540,3900,0.4826,53,1242,4307.0,6111.0,0,1242,2796,3900,3600,3843,542,1242,64,74,37,8,99,8,21,68,61,52,67,12,69,135,121,43,282,58,77,60,3900,433,231,1242,1242
06037109604,638400,1288,2682,9,7,14,19,169,74,61,101,77,705,77,1753,248,2900,0.3712,48,874,3904.0,4391.0,0,922,2073,2900,2794,2895,501,874,49,42,37,25,20,5,58,62,18,48,23,116,95,84,39,60,39,68,112,47,2900,342,313,874,922
06037109700,703600,2282,2599,15,63,30,19,392,17,122,72,86,1000,202,2263,335,4273,0.4136,10,1392,6105.0,8141.0,0,1460,1600,4333,4172,4319,777,1392,120,80,49,21,27,18,80,136,123,117,36,75,174,92,123,39,63,96,203,43,4333,551,437,1392,1460
06037109800,675200,2066,2607,47,7,77,10,389,65,57,149,95,1135,165,2282,440,4569,0.3844,51,1524,6468.0,8284.0,0,1524,2490,4584,4398,4565,871,1524,80,29,83,82,19,157,55,108,267,61,60,97,158,93,181,54,24,149,120,59,4584,684,400,1524,1524
06037111100,687200,2301,3018,21,54,87,10,315,65,40,30,68,609,89,1719,159,3075,0.3972,84,924,3641.0,5056.0,0,980,1328,3076,2716,3036,457,924,56,25,49,16,21,37,15,69,54,20,33,81,88,52,97,66,107,63,64,37,3076,365,199,924,980
06037111201,800300,2507,2663,7,24,23,0,139,103,41,18,70,903,148,1665,218,3251,0.4733,10,1042,5996.0,6726.0,0,1099,1529,3256,3133,3240,618,1042,24,39,75,77,43,25,14,36,38,61,33,89,146,47,109,86,57,29,78,83,3256,629,255,1042,1099
06037111202,729300,2655,2826,38,273,62,13,733,23,117,80,69,1185,346,2688,540,5481,0.4077,94,1918,7486.0,11034.0,0,2010,1614,5670,5150,5597,1106,1918,59,45,143,35,32,53,9,52,104,162,113,82,173,117,183,57,83,104,178,121,5670,759,366,1918,2010
06037111204,984100,3501,3413,0,22,19,21,187,156,150,237,127,1624,143,2916,98,5600,0.3581,44,1811,12525.0,13566.0,0,1889,1094,5600,5205,5552,1361,1811,78,136,190,145,95,68,75,153,193,104,57,74,135,52,132,156,112,83,187,163,5600,1173,451,1811,1889
06037111205,751500,2253,2818,25,105,191,0,628,64,157,66,71,705,134,2374,305,3879,0.41,0,1333,4167.0,6580.0,0,1361,1167,3879,3625,3862,610,1333,27,27,108,75,20,33,57,57,77,21,30,13,69,167,270,88,61,119,147,60,3879,472,233,1333,1361
06037111206,878700,3501,2614,0,8,24,34,116,76,166,201,73,1303,118,2317,253,4354,0.3746,21,1419,8976.0,9624.0,0,1505,826,4363,4077,4341,937,1419,114,51,154,52,21,30,154,37,180,106,21,94,101,104,142,85,178,58,97,127,4363,967,321,1419,1505
06037111302,891600,1920,2315,43,23,130,35,883,60,58,61,38,866,145,2861,514,4763,0.4498,69,1749,5626.0,8498.0,0,1832,1292,4880,4521,4819,811,1749,17,79,74,46,73,27,62,55,157,103,44,104,58,111,78,133,92,100,107,54,4880,642,201,1749,1832
06037111303,756400,2494,2928,0,29,44,16,558,62,74,93,54,878,256,2284,340,4685,0.395,52,1436,4953.0,7478.0,0,1483,1238,4712,4328,4698,927,1436,24,21,54,67,59,49,46,87,55,53,45,58,172,113,134,219,154,86,118,140,4712,606,257,1436,1483
06037111304,386400,1482,2769,95,45,71,85,1274,0,0,0,40,57,35,1945,959,3106,0.444,7,1331,197.0,3647.0,0,1440,1524,3106,2385,2992,450,1331,0,50,15,51,8,0,37,92,43,0,0,0,61,0,0,48,200,52,19,28,3106,40,17,1331,1440
06037111401,738400,2389,2434,6,33,23,16,245,119,20,11,19,429,26,1257,76,2293,0.3208,52,674,2833.0,3843.0,0,674,770,2293,1944,2284,362,674,36,45,0,48,13,24,12,119,68,12,9,9,81,89,51,30,77,21,24,136,2293,213,195,674,674
06037111402,683600,1569,-666666666,35,80,397,97,1681,23,42,41,0,494,305,3149,985,6041,0.4591,141,2175,3012.0,8260.0,0,2175,2622,6146,5537,6115,862,2175,32,43,110,75,55,77,114,92,75,102,122,235,164,127,212,35,14,329,245,26,6146,364,117,2175,2175
06037113101,844600,3501,2830,0,22,0,0,102,81,49,28,80,1049,113,1768,364,3524,0.403,51,1151,7461.0,8102.0,0,1186,640,3525,3296,3496,726,1151,23,52,44,90,83,19,96,69,115,151,43,205,113,44,138,53,48,83,32,60,3525,761,288,1151,1186
06037113102,1193500,3501,4001,0,10,0,0,64,125,76,112,5,923,44,1248,142,2773,0.4665,20,987,7213.0,7749.0,48,1035,508,2784,2458,2784,724,987,8,21,99,59,74,22,15,77,68,82,24,49,33,112,135,68,32,35,89,6,2784,714,209,987,1035
06037113211,669100,2818,2458,0,109,21,34,374,103,174,33,49,1225,115,2180,253,4213,0.4013,39,1599,7987.0,10694.0,0,1694,714,4248,3964,4235,989,1599,22,78,75,159,51,27,92,62,120,139,76,93,83,112,7,156,28,110,38,251,4248,949,255,1599,1694
