GEOID,B25077_001E,B25064_001E,B25088_001E,B25070_004E,B25070_005E,B25070_006E,B25070_007E,B25070_001E,B25091_005E,B25091_006E,B25091_007E,B25091_008E,B25091_001E,B23025_005E,B23025_003E,B17001_002E,B17001_001E,B19083_001E,B19057_002E,B19057_001E,B25022_002E,B25022_001E,B25034_002E,B25034_001E,B03003_003E,B03003_001E,B07001_017E,B07001_001E,B11001_003E,B11001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_001E,B25014_003E,B25014_004E,B25014_001E,B25001_001E
06037101110,627500,1573,2601,76,105,21,60,711,57,53,52,34,840,177,2272,342,3927,0.4219,78,1551,4657.0,7114.0,0,1652,1082,4014,3478,3970,715,1551,93,171,25,71,29,0,107,143,64,56,47,34,59,52,105,120,82,82,95,0,4014,544,282,1551,1652
06037101122,861600,3214,2647,0,8,33,9,344,113,117,124,73,1039,220,2294,277,4133,0.4138,49,1383,6598.0,8496.0,0,1427,362,4164,3965,4125,738,1383,41,36,119,65,31,114,87,111,117,63,90,35,58,96,85,69,70,83,157,47,4164,682,346,1383,1427
06037101220,645300,1487,2628,94,40,157,95,767,91,122,54,16,582,247,1952,557,3481,0.4727,110,1349,2802.0,5598.0,9,1372,1463,3481,3183,3469,649,1349,21,74,94,40,45,0,34,50,66,77,29,39,98,88,105,11,37,101,109,47,3481,339,212,1349,1372
06037101221,550400,1685,1904,65,34,164,66,1077,38,0,66,15,347,79,1841,357,3703,0.4359,68,1424,1586.0,5099.0,0,1549,1204,3756,3540,3756,635,1424,76,59,117,0,0,154,15,49,106,17,112,28,99,52,114,45,55,106,120,103,3756,196,109,1424,1549
06037101222,-666666666,1782,-666666666,215,28,56,7,897,0,7,0,0,31,164,1393,447,2808,0.4983,96,928,,,0,1006,1295,2808,2593,2808,493,928,0,54,34,59,0,28,100,41,37,0,64,42,28,134,20,15,0,109,184,22,2808,24,7,928,1006
06037101300,818400,2430,2664,38,67,22,17,291,108,124,80,180,1134,147,2025,246,4024,0.3812,91,1425,6554.0,7754.0,0,1517,608,4071,3815,4057,806,1425,32,214,83,22,48,54,130,101,136,130,56,93,22,156,60,51,96,161,118,75,4071,758,343,1425,1517
06037101400,707500,1592,2319,0,24,19,0,332,61,80,91,139,955,155,1824,194,3474,0.413,79,1287,5340.0,6460.0,0,1522,881,3490,3218,3401,587,1287,67,40,89,114,22,13,50,134,82,41,25,4,123,43,66,118,206,21,31,0,3490,527,384,1287,1522
06037102103,832200,2179,3032,27,25,6,47,269,9,21,5,13,402,71,814,241,1834,0.4179,65,671,2160.0,3375.0,17,788,88,1834,1718,1807,316,671,6,24,19,23,10,0,19,10,57,27,28,25,86,22,56,43,53,163,40,23,1834,186,201,671,788
06037102104,668200,3206,2098,0,24,62,20,275,49,62,94,47,1029,104,1896,207,3814,0.4216,30,1304,5618.0,7006.0,0,1393,461,4033,3550,3998,740,1304,0,35,141,124,31,0,31,90,238,56,10,9,124,43,122,16,56,144,74,224,4033,597,432,1304,1393
06037102105,617800,1871,2676,33,18,56,0,232,18,56,16,38,325,29,850,71,1610,0.3999,6,557,1862.0,2768.0,0,575,1087,1610,1515,1575,340,557,9,27,56,5,5,15,36,16,60,8,6,18,23,17,71,12,105,61,15,34,1610,169,150,557,575
06037102107,895200,2169,3120,0,0,12,70,280,91,90,41,48,922,119,1726,464,3459,0.4628,86,1202,5839.0,7394.0,0,1248,886,3577,3307,3546,511,1202,9,61,188,16,31,34,37,87,75,12,57,178,31,89,94,1,32,46,57,77,3577,712,169,1202,1248
06037103101,726700,2783,2566,9,0,0,23,115,116,180,45,10,852,146,1689,91,2726,0.3661,26,967,4879.0,5554.0,0,985,753,2726,2511,2615,557,967,65,31,49,35,14,5,61,23,56,42,11,22,129,131,41,8,65,34,30,40,2726,523,329,967,985
06037103102,599300,1614,2169,13,0,37,170,459,190,93,91,134,1172,289,2442,382,4520,0.4464,52,1631,6221.0,8127.0,0,1740,1089,4550,4031,4535,760,1631,48,49,43,58,43,50,114,93,132,179,34,29,129,71,91,143,45,66,109,20,4550,729,407,1631,1740
