tract_split_base,year,lacity,spa,sd,cd,ca_ssd,ca_sad,us_cd,demogsurvct,shelthmisct,demogsurveyany,sheltercountany,streetcountany,totstreetsingadult,totstreetfamhh,totstreetfammem,totsafeparksingadult,totsafeparkfamhh,totsafeparkfammem,totcars,totvans,totcampers,tottents,totmss,totcarpeople,totvanpeople,totcamperpeople,tottentpeople,totmsspeople,famcarhh,famvanhh,famcamperhh,famtenthh,fammsshh,famcarpeople,famvanpeople,famcamperpeople,famtentpeople,fammsspeople,indcarpeople,indvanpeople,indcamperpeople,indtentpeople,indmsspeople,totesadultsingadult,totesadultfamhh,totesadultfammem,totesyouthsingyouth,totesyouthfamhh,totesyouthfammem,totesyouthunaccyouth,totthadultsingadult,totthadultfamhh,totthadultfammem,totthyouthsingyouth,totthyouthfamhh,totthyouthfammem,totthyouthunaccyouth,totshadultsingadult,totshadultfamhh,totshadultfammem,totshyouthsingyouth,totshyouthfamhh,totshyouthfammem,totshyouthunaccyouth,totunsheltpeople,totespeople,totthpeople,totshpeople,totsheltpeople,totpeople,GEOID
405001,2022,2,3,1,0,22,48,32,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,1.336,0.0,3.903,0.0,0.0,0.047,0.0,0.038,0.0,0.0,0.152,0.0,0.155,0.0,0.0,1.184,0.0,3.748,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.238,0,0,0,0,7.238,06037405001
405002,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037405002
405101,2022,2,3,1,0,22,48,32,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.951,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,1.874,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.951,0,0,0,0,5.951,06037405101
405102,2022,2,3,1,0,22,48,32,0,0,0,0,1,15,0,0,0,0,0,4,0,2,0,1,5.342,0.0,3.903,0.0,1.453,0.187,0.0,0.038,0.0,0.004,0.608,0.0,0.155,0.0,0.011,4.735,0.0,3.748,0.0,1.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.697,0,0,0,0,25.697,06037405102
405201,2022,2,3,1,0,22,48,32,1,0,1,0,1,2,0,0,0,0,0,0,0,2,1,2,0.0,0.0,3.903,1.192,2.905,0.0,0.0,0.038,0.002,0.008,0.0,0.0,0.155,0.007,0.023,0.0,0.0,3.748,1.185,2.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,10.0,06037405201
405202,2022,2,3,1,0,22,48,32,0,0,0,0,1,11,0,0,0,0,0,4,0,0,0,5,5.342,0.0,0.0,0.0,7.264,0.187,0.0,0.0,0.0,0.019,0.608,0.0,0.0,0.0,0.057,4.735,0.0,0.0,0.0,7.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.606,0,0,0,0,23.606,06037405202
405203,2022,2,3,1,0,22,48,32,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2.671,0.0,1.951,0.0,0.0,0.094,0.0,0.019,0.0,0.0,0.304,0.0,0.077,0.0,0.0,2.367,0.0,1.874,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.622,0,0,0,0,4.622,06037405203
405301,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037405301
405302,2022,2,3,1,0,22,48,32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.951,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,1.874,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.951,0,0,0,0,1.951,06037405302
405400,2022,2,3,1,0,22,48,32,0,0,0,0,2,1,0,0,0,0,0,0,1,5,0,0,0.0,1.203,9.757000000000001,0.0,0.0,0.0,0.018,0.095,0.0,0.0,0.0,0.057,0.387,0.0,0.0,0.0,1.146,9.369,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.96,0,0,0,0,11.96,06037405400
405500,2022,2,3,1,0,22,48,32,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,3.902,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,3.748,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.902,0,0,0,0,3.902,06037405500
405600,2022,2,3,1,0,22,48,32,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,06037405600
405701,2022,2,3,5,0,22,48,32,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.336,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,1.184,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.336,0,0,0,0,1.336,06037405701
405702,2022,2,3,5,0,22,48,32,0,6,0,1,1,5,0,0,0,0,0,0,2,0,0,0,0.0,2.406,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,2.292,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,7.406,0,3,0,3,10.406,06037405702
405800,2022,2,3,5,0,22,48,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.192,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,1.185,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.192,0,0,0,0,1.192,06037405800
405900,2022,2,3,5,0,22,48,32,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0.0,0.0,11.708,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0,0.0,11.243,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.708,0,0,0,0,11.708,06037405900
406000,2022,2,3,5,0,22,48,32,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.453,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,1.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.453,0,0,0,0,3.453,06037406000
406101,2022,2,3,5,0,22,48,32,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,4.0,06037406101
406102,2022,2,3,5,0,22,48,32,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,5.0,06037406102
406200,2022,2,3,1,0,22,48,32,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,2.905,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,2.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.905,0,0,0,0,3.905,06037406200
406300,2022,2,3,1,0,9,55,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037406300
406402,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037406402
406411,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037406411
406412,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037406412
406500,2022,2,3,1,0,22,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037406500
406601,2022,2,3,1,0,22,48,32,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.453,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,1.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.453,0,0,0,0,5.453,06037406601
406602,2022,2,3,1,0,22,48,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,06037406602
